depth	 damage
1.200010000000000048e+02	3.201581999999999795e+01
2.400010000000000332e+02	4.257123599999999897e+01
3.600010000000000332e+02	4.808281200000000410e+01
4.800010000000000332e+02	5.005537200000000553e+01
6.000009999999999764e+02	5.043345600000000672e+01
7.200009999999999764e+02	5.222538000000000125e+01
8.400009999999999764e+02	5.426379600000000636e+01
9.600009999999999764e+02	5.649410400000000010e+01
1.080000000000000000e+03	5.828551199999999710e+01
1.200000000000000000e+03	6.111925199999999592e+01
1.320000000000000000e+03	6.305450399999999433e+01
1.440000000000000000e+03	6.503987999999999658e+01
1.560000000000000000e+03	6.866367600000000948e+01
1.680000000000000000e+03	7.196918399999999849e+01
1.800000000000000000e+03	7.377339600000000530e+01
1.920000000000000000e+03	8.008146000000000697e+01
2.040000000000000000e+03	8.973614400000001012e+01
2.160000000000000000e+03	5.946170399999999745e+01
2.280000000000000000e+03	6.966304800000000341e+01
2.400000000000000000e+03	7.433720399999999984e+01
2.520000000000000000e+03	8.199662400000001128e+01
2.640000000000000000e+03	8.941847999999998819e+01
2.760000000000000000e+03	1.004728799999999893e+02
2.880000000000000000e+03	1.112773200000000173e+02
3.000000000000000000e+03	1.259780400000000071e+02
3.120000000000000000e+03	1.447064399999999864e+02
3.240000000000000000e+03	1.644430800000000090e+02
3.360000000000000000e+03	1.947586800000000267e+02
3.480000000000000000e+03	2.344389600000000087e+02
3.600000000000000000e+03	2.903539200000000164e+02
3.720000000000000000e+03	3.720940799999999626e+02
3.840000000000000000e+03	4.944530399999999872e+02
3.960000000000000000e+03	7.064969999999999573e+02
4.080000000000000000e+03	1.068644880000000057e+03
4.200000000000000000e+03	1.491262800000000198e+03
4.320000000000000000e+03	1.289374800000000050e+03
4.440000000000000000e+03	4.231520399999999995e+02
4.560000000000000000e+03	3.753554400000000157e+01
4.680000000000000000e+03	7.439448000000000727e-01
4.800000000000000000e+03	1.676509200000000140e-03
4.920000000000000000e+03	0.000000000000000000e+00
5.040000000000000000e+03	0.000000000000000000e+00
5.160000000000000000e+03	0.000000000000000000e+00
5.280000000000000000e+03	0.000000000000000000e+00
5.400000000000000000e+03	0.000000000000000000e+00
5.520000000000000000e+03	0.000000000000000000e+00
5.640000000000000000e+03	0.000000000000000000e+00
5.760000000000000000e+03	0.000000000000000000e+00
5.880000000000000000e+03	0.000000000000000000e+00
6.000000000000000000e+03	0.000000000000000000e+00
6.120000000000000000e+03	0.000000000000000000e+00
6.240000000000000000e+03	0.000000000000000000e+00
6.360000000000000000e+03	0.000000000000000000e+00
6.480000000000000000e+03	0.000000000000000000e+00
6.600000000000000000e+03	0.000000000000000000e+00
6.720000000000000000e+03	0.000000000000000000e+00
6.840000000000000000e+03	0.000000000000000000e+00
6.960000000000000000e+03	0.000000000000000000e+00
7.080000000000000000e+03	0.000000000000000000e+00
7.200000000000000000e+03	0.000000000000000000e+00
7.320000000000000000e+03	0.000000000000000000e+00
7.440000000000000000e+03	0.000000000000000000e+00
7.560000000000000000e+03	0.000000000000000000e+00
7.680000000000000000e+03	0.000000000000000000e+00
7.800000000000000000e+03	0.000000000000000000e+00
7.920000000000000000e+03	0.000000000000000000e+00
8.040000000000000000e+03	0.000000000000000000e+00
8.160000000000000000e+03	0.000000000000000000e+00
8.280000000000000000e+03	0.000000000000000000e+00
8.400000000000000000e+03	0.000000000000000000e+00
8.520000000000000000e+03	0.000000000000000000e+00
8.640000000000000000e+03	0.000000000000000000e+00
8.760000000000000000e+03	0.000000000000000000e+00
8.880000000000000000e+03	0.000000000000000000e+00
9.000000000000000000e+03	0.000000000000000000e+00
9.120000000000000000e+03	0.000000000000000000e+00
9.240000000000000000e+03	0.000000000000000000e+00
9.360000000000000000e+03	0.000000000000000000e+00
9.480000000000000000e+03	0.000000000000000000e+00
9.600000000000000000e+03	0.000000000000000000e+00
9.720000000000000000e+03	0.000000000000000000e+00
9.840000000000000000e+03	0.000000000000000000e+00
9.960000000000000000e+03	0.000000000000000000e+00
1.008000000000000000e+04	0.000000000000000000e+00
1.020000000000000000e+04	0.000000000000000000e+00
1.032000000000000000e+04	0.000000000000000000e+00
1.044000000000000000e+04	0.000000000000000000e+00
1.056000000000000000e+04	0.000000000000000000e+00
1.068000000000000000e+04	0.000000000000000000e+00
1.080000000000000000e+04	0.000000000000000000e+00
1.092000000000000000e+04	0.000000000000000000e+00
1.104000000000000000e+04	0.000000000000000000e+00
1.116000000000000000e+04	0.000000000000000000e+00
1.128000000000000000e+04	0.000000000000000000e+00
1.140000000000000000e+04	0.000000000000000000e+00
1.152000000000000000e+04	0.000000000000000000e+00
1.164000000000000000e+04	0.000000000000000000e+00
1.176000000000000000e+04	0.000000000000000000e+00
1.188000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
Results class for target=<Layer material:U 0.33 O 0.67 width:20000.0> <Layer material:Si 0.33 O 0.67 width:100000.0>, ion=Helium @ 1500.0 kev. Analysis to 0nm
