depth	 damage
1.200010000000000048e+02	4.109247599999999778e+01
2.400010000000000332e+02	4.863531599999999600e+01
3.600010000000000332e+02	5.662272000000000105e+01
4.800010000000000332e+02	5.906522399999999351e+01
6.000009999999999764e+02	6.230617199999999656e+01
7.200009999999999764e+02	6.549385199999998974e+01
8.400009999999999764e+02	6.855060000000000286e+01
9.600009999999999764e+02	7.167732000000000880e+01
1.080000000000000000e+03	7.583072399999998936e+01
1.200000000000000000e+03	7.852954800000000546e+01
1.320000000000000000e+03	8.469813599999999099e+01
1.440000000000000000e+03	8.863800000000000523e+01
1.560000000000000000e+03	9.493055999999998562e+01
1.680000000000000000e+03	1.019582520000000159e+02
1.800000000000000000e+03	1.106122320000000059e+02
1.920000000000000000e+03	1.184806799999999924e+02
2.040000000000000000e+03	1.302796799999999848e+02
2.160000000000000000e+03	1.064590800000000002e+02
2.280000000000000000e+03	1.234094399999999894e+02
2.400000000000000000e+03	1.414670399999999972e+02
2.520000000000000000e+03	1.619392799999999966e+02
2.640000000000000000e+03	1.885965600000000109e+02
2.760000000000000000e+03	2.262933600000000069e+02
2.880000000000000000e+03	2.784177599999999870e+02
3.000000000000000000e+03	3.494113199999999892e+02
3.120000000000000000e+03	4.564032000000000266e+02
3.240000000000000000e+03	6.273305999999998903e+02
3.360000000000000000e+03	9.129418799999999692e+02
3.480000000000000000e+03	1.336213200000000143e+03
3.600000000000000000e+03	1.458600000000000136e+03
3.720000000000000000e+03	7.133350799999999481e+02
3.840000000000000000e+03	9.795023999999999376e+01
3.960000000000000000e+03	2.826772800000000085e+00
4.080000000000000000e+03	1.067821200000000116e-02
4.200000000000000000e+03	0.000000000000000000e+00
4.320000000000000000e+03	0.000000000000000000e+00
4.440000000000000000e+03	0.000000000000000000e+00
4.560000000000000000e+03	0.000000000000000000e+00
4.680000000000000000e+03	0.000000000000000000e+00
4.800000000000000000e+03	0.000000000000000000e+00
4.920000000000000000e+03	0.000000000000000000e+00
5.040000000000000000e+03	0.000000000000000000e+00
5.160000000000000000e+03	0.000000000000000000e+00
5.280000000000000000e+03	0.000000000000000000e+00
5.400000000000000000e+03	0.000000000000000000e+00
5.520000000000000000e+03	0.000000000000000000e+00
5.640000000000000000e+03	0.000000000000000000e+00
5.760000000000000000e+03	0.000000000000000000e+00
5.880000000000000000e+03	0.000000000000000000e+00
6.000000000000000000e+03	0.000000000000000000e+00
6.120000000000000000e+03	0.000000000000000000e+00
6.240000000000000000e+03	0.000000000000000000e+00
6.360000000000000000e+03	0.000000000000000000e+00
6.480000000000000000e+03	0.000000000000000000e+00
6.600000000000000000e+03	0.000000000000000000e+00
6.720000000000000000e+03	0.000000000000000000e+00
6.840000000000000000e+03	0.000000000000000000e+00
6.960000000000000000e+03	0.000000000000000000e+00
7.080000000000000000e+03	0.000000000000000000e+00
7.200000000000000000e+03	0.000000000000000000e+00
7.320000000000000000e+03	0.000000000000000000e+00
7.440000000000000000e+03	0.000000000000000000e+00
7.560000000000000000e+03	0.000000000000000000e+00
7.680000000000000000e+03	0.000000000000000000e+00
7.800000000000000000e+03	0.000000000000000000e+00
7.920000000000000000e+03	0.000000000000000000e+00
8.040000000000000000e+03	0.000000000000000000e+00
8.160000000000000000e+03	0.000000000000000000e+00
8.280000000000000000e+03	0.000000000000000000e+00
8.400000000000000000e+03	0.000000000000000000e+00
8.520000000000000000e+03	0.000000000000000000e+00
8.640000000000000000e+03	0.000000000000000000e+00
8.760000000000000000e+03	0.000000000000000000e+00
8.880000000000000000e+03	0.000000000000000000e+00
9.000000000000000000e+03	0.000000000000000000e+00
9.120000000000000000e+03	0.000000000000000000e+00
9.240000000000000000e+03	0.000000000000000000e+00
9.360000000000000000e+03	0.000000000000000000e+00
9.480000000000000000e+03	0.000000000000000000e+00
9.600000000000000000e+03	0.000000000000000000e+00
9.720000000000000000e+03	0.000000000000000000e+00
9.840000000000000000e+03	0.000000000000000000e+00
9.960000000000000000e+03	0.000000000000000000e+00
1.008000000000000000e+04	0.000000000000000000e+00
1.020000000000000000e+04	0.000000000000000000e+00
1.032000000000000000e+04	0.000000000000000000e+00
1.044000000000000000e+04	0.000000000000000000e+00
1.056000000000000000e+04	0.000000000000000000e+00
1.068000000000000000e+04	0.000000000000000000e+00
1.080000000000000000e+04	0.000000000000000000e+00
1.092000000000000000e+04	0.000000000000000000e+00
1.104000000000000000e+04	0.000000000000000000e+00
1.116000000000000000e+04	0.000000000000000000e+00
1.128000000000000000e+04	0.000000000000000000e+00
1.140000000000000000e+04	0.000000000000000000e+00
1.152000000000000000e+04	0.000000000000000000e+00
1.164000000000000000e+04	0.000000000000000000e+00
1.176000000000000000e+04	0.000000000000000000e+00
1.188000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
Results class for target=<Layer material:U 0.33 O 0.67 width:20000.0> <Layer material:Si 0.33 O 0.67 width:100000.0>, ion=Helium @ 1250.0 kev. Analysis to 0nm
